# Generated using:
# ./run pminer globalperf /tmp/PropagationAnalysis-dataset/musco/ callgraph.xml:callgraph_cha.xml:callgraph_f_cha.xml -v -t -c ";" > cia_perf.csv
"Project";"graph";"Type";"Op";"nbmut";"nbalives";"nunbound";"nisolated";"nbnodes";"nbedges";"CIS";"AIS";"CAIS";"FPIS";"DIS";"prec";"recall";"fscore";"S";"C";"O";"U";"D";"time"
"commons-codec";"callgraph_cha.xml";"avg";"UOI";470;0;3;0;1410;2360;52.107066;11.312634;10.149893;41.957173;1.162741;0.275618;0.881671;0.324261;0.010638;0.789362;0.778723;0.040426;0.163830;0.109208
"commons-codec";"callgraph_cha.xml";"avg";"ROR";484;0;5;0;1410;2360;49.390397;10.926931;9.521921;39.868476;1.405010;0.278947;0.876373;0.326926;0.018595;0.776860;0.758264;0.041322;0.171488;0.093946
"commons-codec";"callgraph_cha.xml";"avg";"ABS";302;0;3;0;1410;2360;49.066890;8.849498;7.665552;41.401338;1.183946;0.236347;0.868524;0.293962;0.016556;0.794702;0.778146;0.033113;0.162252;0.130435
"commons-codec";"callgraph_cha.xml";"avg";"AOR";458;0;5;0;1410;2360;54.348786;9.918322;8.907285;45.441501;1.011038;0.238680;0.893140;0.297628;0.000000;0.807860;0.807860;0.028384;0.152838;0.119205
"spojo";"callgraph_f_cha.xml";"avg";"LCR";48;0;0;0;515;1331;56.750000;14.270833;14.270833;42.479167;0.000000;0.269869;1.000000;0.384329;0.000000;1.000000;1.000000;0.000000;0.000000;0.104167
"spojo";"callgraph_f_cha.xml";"avg";"UOI";15;0;0;0;515;1331;47.200000;18.666667;18.466667;28.733333;0.200000;0.576503;0.800000;0.475826;0.000000;0.800000;0.800000;0.200000;0.000000;0.133333
"spojo";"callgraph_f_cha.xml";"avg";"ROR";142;0;0;0;515;1331;48.612676;12.126761;11.492958;37.119718;0.633803;0.313798;0.915493;0.394220;0.035211;0.901408;0.866197;0.028169;0.070423;0.161972
"spojo";"callgraph_f_cha.xml";"avg";"ABS";8;0;0;0;515;1331;46.375000;3.750000;3.375000;43.000000;0.375000;0.420518;0.625000;0.084731;0.000000;0.625000;0.625000;0.375000;0.000000;0.125000
"spojo";"callgraph_f_cha.xml";"avg";"AOR";20;0;0;0;515;1331;1.400000;1.500000;0.300000;1.100000;1.200000;0.450000;0.133333;0.116667;0.000000;0.100000;0.100000;0.400000;0.500000;0.050000
"spojo";"callgraph.xml";"avg";"LCR";48;0;0;0;330;890;51.583333;14.270833;14.000000;37.583333;0.270833;0.308240;0.958796;0.414166;0.000000;0.916667;0.916667;0.000000;0.083333;0.083333
"spojo";"callgraph.xml";"avg";"UOI";15;0;0;0;330;890;43.066667;18.666667;18.000000;25.066667;0.666667;0.631230;0.761111;0.494788;0.000000;0.733333;0.733333;0.266667;0.000000;0.066667
"spojo";"callgraph.xml";"avg";"ROR";142;0;0;0;330;890;26.478873;12.126761;9.197183;17.281690;2.929577;0.458520;0.784003;0.445289;0.049296;0.718310;0.669014;0.140845;0.140845;0.049296
"spojo";"callgraph.xml";"avg";"ABS";8;0;0;0;330;890;46.375000;3.750000;3.375000;43.000000;0.375000;0.420518;0.625000;0.084731;0.000000;0.625000;0.625000;0.375000;0.000000;0.000000
"spojo";"callgraph.xml";"avg";"AOR";20;0;0;0;330;890;1.400000;1.500000;0.300000;1.100000;1.200000;0.450000;0.133333;0.116667;0.000000;0.100000;0.100000;0.400000;0.500000;0.000000
"spojo";"callgraph_cha.xml";"avg";"LCR";48;0;0;0;341;923;54.000000;14.270833;14.270833;39.729167;0.000000;0.277112;1.000000;0.395461;0.000000;1.000000;1.000000;0.000000;0.000000;0.062500
"spojo";"callgraph_cha.xml";"avg";"UOI";15;0;0;0;341;923;45.000000;18.666667;18.466667;26.533333;0.200000;0.588093;0.800000;0.490355;0.000000;0.800000;0.800000;0.200000;0.000000;0.066667
"spojo";"callgraph_cha.xml";"avg";"ROR";142;0;0;0;341;923;35.577465;12.126761;11.063380;24.514085;1.063380;0.360775;0.898659;0.441535;0.035211;0.859155;0.823944;0.028169;0.112676;0.098592
"spojo";"callgraph_cha.xml";"avg";"ABS";8;0;0;0;341;923;46.375000;3.750000;3.375000;43.000000;0.375000;0.420518;0.625000;0.084731;0.000000;0.625000;0.625000;0.375000;0.000000;0.125000
"spojo";"callgraph_cha.xml";"avg";"AOR";20;0;0;0;341;923;1.400000;1.500000;0.300000;1.100000;1.200000;0.450000;0.133333;0.116667;0.000000;0.100000;0.100000;0.400000;0.500000;0.000000
"sonar";"callgraph_f_cha.xml";"avg";"LCR";177;0;5;0;5598;10705;24.587209;2.186047;1.790698;22.796512;0.395349;0.616729;0.779661;0.493504;0.209040;0.779661;0.570621;0.192090;0.000000;0.186047
"sonar";"callgraph_f_cha.xml";"avg";"UOI";172;0;1;0;5598;10705;17.888889;2.461988;2.163743;15.725146;0.298246;0.580578;0.869186;0.535323;0.279070;0.854651;0.575581;0.110465;0.029070;0.105263
"sonar";"callgraph_f_cha.xml";"avg";"ROR";462;0;7;0;5598;10705;11.492308;2.905495;2.569231;8.923077;0.336264;0.653812;0.862335;0.613536;0.331169;0.835498;0.504329;0.116883;0.032468;0.063736
"sonar";"callgraph_f_cha.xml";"avg";"ABS";288;0;3;0;5598;10705;5.803509;3.098246;2.522807;3.280702;0.575439;0.748705;0.842294;0.675679;0.399306;0.812500;0.413194;0.145833;0.031250;0.024561
"sonar";"callgraph_f_cha.xml";"avg";"AOR";253;0;0;0;5598;10705;16.853755;2.620553;2.486166;14.367589;0.134387;0.508671;0.938735;0.549122;0.260870;0.913043;0.652174;0.035573;0.051383;0.106719
"sonar";"callgraph.xml";"avg";"LCR";177;0;22;0;3301;5792;3.567742;2.309677;1.729032;1.838710;0.580645;0.625665;0.733522;0.566961;0.265537;0.683616;0.418079;0.152542;0.039548;0.019355
"sonar";"callgraph.xml";"avg";"UOI";172;0;9;0;3301;5792;6.300613;2.527607;2.098160;4.202454;0.429448;0.608886;0.847510;0.578648;0.308140;0.813953;0.505814;0.127907;0.005814;0.024540
"sonar";"callgraph.xml";"avg";"ROR";462;0;28;0;3301;5792;5.184332;2.990783;2.548387;2.635945;0.442396;0.640397;0.824572;0.619732;0.335498;0.781385;0.445887;0.099567;0.058442;0.016129
"sonar";"callgraph.xml";"avg";"ABS";288;0;39;0;3301;5792;4.413655;3.068273;2.618474;1.795181;0.449799;0.660028;0.783781;0.662875;0.434028;0.743056;0.309028;0.059028;0.062500;0.016064
"sonar";"callgraph.xml";"avg";"AOR";253;0;0;0;3301;5792;7.233202;2.620553;2.391304;4.841897;0.229249;0.569633;0.930830;0.589748;0.284585;0.905138;0.620553;0.075099;0.019763;0.015810
"sonar";"callgraph_cha.xml";"avg";"LCR";177;0;22;0;3343;5907;4.677419;2.309677;1.967742;2.709677;0.341935;0.556697;0.778249;0.531309;0.237288;0.762712;0.525424;0.096045;0.016949;0.000000
"sonar";"callgraph_cha.xml";"avg";"UOI";172;0;9;0;3343;5907;6.533742;2.527607;2.190184;4.343558;0.337423;0.591143;0.862925;0.576214;0.296512;0.843023;0.546512;0.098837;0.005814;0.024540
"sonar";"callgraph_cha.xml";"avg";"ROR";462;0;28;0;3343;5907;5.578341;2.990783;2.658986;2.919355;0.331797;0.626319;0.854218;0.626705;0.337662;0.824675;0.487013;0.077922;0.036797;0.011521
"sonar";"callgraph_cha.xml";"avg";"ABS";288;0;39;0;3343;5907;4.730924;3.068273;2.738956;1.991968;0.329317;0.656100;0.806433;0.671430;0.430556;0.770833;0.340278;0.052083;0.041667;0.016064
"sonar";"callgraph_cha.xml";"avg";"AOR";253;0;0;0;3343;5907;7.252964;2.620553;2.391304;4.861660;0.229249;0.569397;0.930830;0.589368;0.284585;0.905138;0.620553;0.075099;0.019763;0.011858
"joda-time";"callgraph_f_cha.xml";"avg";"LCR";438;0;0;0;11642;44806;1608.696347;107.504566;103.125571;1505.570776;4.378995;0.244396;0.961963;0.271526;0.089041;0.842466;0.753425;0.027397;0.130137;19.689498
"joda-time";"callgraph_f_cha.xml";"avg";"UOI";499;0;1;0;11642;44806;2086.668675;143.570281;140.192771;1946.475904;3.377510;0.285053;0.975969;0.331439;0.134269;0.863727;0.729459;0.008016;0.126253;25.678715
"joda-time";"callgraph_f_cha.xml";"avg";"ROR";426;0;0;0;11642;44806;1728.075117;129.389671;121.443662;1606.631455;7.946009;0.365813;0.951305;0.369424;0.183099;0.852113;0.669014;0.044601;0.103286;20.922535
"joda-time";"callgraph_f_cha.xml";"avg";"ABS";294;0;0;0;11642;44806;1706.102041;81.809524;79.248299;1626.853741;2.561224;0.348243;0.975167;0.384857;0.187075;0.887755;0.700680;0.017007;0.095238;20.761905
"joda-time";"callgraph_f_cha.xml";"avg";"AOR";541;0;0;0;11642;44806;2317.123845;128.053604;125.500924;2191.622921;2.552680;0.257360;0.981926;0.301613;0.114603;0.885397;0.770795;0.009242;0.105360;28.646950
