# Generated using:
# ./run pminer globalperf /tmp/PropagationAnalysis-dataset/musco/ callgraph.xml:callgraph_cha.xml:callgraph_f_cha.xml -v -t -c ";" > cia_perf.csv
"Project";"graph";"Type";"Op";"nbmut";"nbalives";"nunbound";"nisolated";"nbnodes";"nbedges";"CIS";"AIS";"CAIS";"FPIS";"DIS";"prec";"recall";"fscore";"S";"C";"O";"U";"D";"time"
"shindig";"callgraph_cha.xml";"avg";"AOR";314;0;22;0;1682;2713;6.366438;2.636986;2.113014;4.253425;0.523973;0.562700;0.866708;0.595591;0.401274;0.866242;0.464968;0.025478;0.038217;0.023973
"commons-collections";"callgraph_f_cha.xml";"avg";"LCR";332;0;3;0;7467;17147;14.379939;10.063830;2.279635;12.100304;7.784195;0.621037;0.596590;0.461695;0.268072;0.539157;0.271084;0.201807;0.250000;0.358663
"commons-collections";"callgraph_f_cha.xml";"avg";"UOI";386;0;1;0;7467;17147;24.737662;13.249351;2.771429;21.966234;10.477922;0.599371;0.561974;0.431748;0.316062;0.492228;0.176166;0.204663;0.300518;0.470130
"commons-collections";"callgraph_f_cha.xml";"avg";"ROR";381;0;0;0;7467;17147;28.191601;14.629921;2.170604;26.020997;12.459318;0.497333;0.460027;0.304199;0.149606;0.380577;0.230971;0.223097;0.396325;0.519685
"commons-collections";"callgraph_f_cha.xml";"avg";"ABS";220;0;0;0;7467;17147;23.604545;17.709091;2.809091;20.795455;14.900000;0.597680;0.480596;0.376475;0.240909;0.395455;0.154545;0.240909;0.363636;0.500000
"commons-collections";"callgraph_f_cha.xml";"avg";"AOR";380;0;0;0;7467;17147;24.315789;15.431579;2.984211;21.331579;12.447368;0.594227;0.541314;0.398737;0.297368;0.486842;0.189474;0.215789;0.297368;0.489474
"commons-collections";"callgraph.xml";"avg";"LCR";332;0;23;0;5570;9335;3.598706;9.974110;2.216828;1.381877;7.757282;0.739455;0.556397;0.480375;0.283133;0.509036;0.225904;0.295181;0.126506;0.016181
"commons-collections";"callgraph.xml";"avg";"UOI";386;0;44;0;5570;9335;4.201754;11.888889;2.751462;1.450292;9.137427;0.766977;0.494400;0.467179;0.360104;0.440415;0.080311;0.334197;0.111399;0.076023
"commons-collections";"callgraph.xml";"avg";"ROR";381;0;37;0;5570;9335;3.136628;14.549419;1.930233;1.206395;12.619186;0.720857;0.386749;0.332069;0.175853;0.320210;0.144357;0.425197;0.157480;0.017442
"commons-collections";"callgraph.xml";"avg";"ABS";220;0;13;0;5570;9335;4.048309;18.178744;2.309179;1.739130;15.869565;0.782903;0.417294;0.380264;0.250000;0.354545;0.104545;0.422727;0.163636;0.009662
"commons-collections";"callgraph.xml";"avg";"AOR";380;0;59;0;5570;9335;4.401869;14.158879;3.059190;1.342679;11.099688;0.735000;0.474275;0.448480;0.350000;0.431579;0.081579;0.310526;0.102632;0.018692
"commons-collections";"callgraph_cha.xml";"avg";"LCR";332;0;16;0;6271;12130;7.025316;10.287975;2.272152;4.753165;8.015823;0.653574;0.573355;0.473810;0.277108;0.524096;0.246988;0.219880;0.207831;0.044304
"commons-collections";"callgraph_cha.xml";"avg";"UOI";386;0;17;0;6271;12130;8.983740;13.073171;2.653117;6.330623;10.420054;0.705715;0.509304;0.456325;0.341969;0.450777;0.108808;0.279793;0.225389;0.084011
"commons-collections";"callgraph_cha.xml";"avg";"ROR";381;0;16;0;6271;12130;14.010959;14.723288;2.021918;11.989041;12.701370;0.581710;0.435187;0.322601;0.162730;0.364829;0.202100;0.286089;0.307087;0.128767
"commons-collections";"callgraph_cha.xml";"avg";"ABS";220;0;9;0;6271;12130;8.848341;18.161137;2.568720;6.279621;15.592417;0.696426;0.440279;0.385068;0.250000;0.368182;0.118182;0.327273;0.263636;0.071090
"commons-collections";"callgraph_cha.xml";"avg";"AOR";380;0;15;0;6271;12130;6.517808;15.947945;2.802740;3.715068;13.145205;0.731539;0.483359;0.442872;0.344737;0.439474;0.094737;0.305263;0.215789;0.057534
"gson";"callgraph_f_cha.xml";"avg";"LCR";431;0;21;0;3170;9049;574.785366;45.029268;40.919512;533.865854;4.109756;0.164959;0.887374;0.165054;0.004640;0.851508;0.846868;0.058005;0.041763;2.582927
"gson";"callgraph_f_cha.xml";"avg";"UOI";418;0;9;0;3170;9049;642.430318;60.713936;58.980440;583.449878;1.733496;0.142555;0.957028;0.182194;0.002392;0.935407;0.933014;0.019139;0.023923;3.322738
"gson";"callgraph_f_cha.xml";"avg";"ROR";703;0;4;0;3170;9049;657.450644;56.600858;55.559371;601.891273;1.041488;0.151132;0.952126;0.160827;0.017070;0.938834;0.921764;0.035562;0.019915;3.151645
"gson";"callgraph_f_cha.xml";"avg";"ABS";225;0;0;0;3170;9049;695.128889;53.137778;51.982222;643.146667;1.155556;0.117660;0.977755;0.143984;0.013333;0.968889;0.955556;0.022222;0.008889;3.591111
"gson";"callgraph_f_cha.xml";"avg";"AOR";310;0;0;0;3170;9049;691.503226;40.154839;40.141935;651.361290;0.012903;0.077953;0.999967;0.125107;0.000000;0.987097;0.987097;0.000000;0.012903;3.522581
"gson";"callgraph.xml";"avg";"LCR";431;0;32;0;2323;5504;168.528822;42.263158;16.847118;151.681704;25.416040;0.395425;0.556413;0.212973;0.020882;0.382831;0.361949;0.229698;0.313225;0.421053
"gson";"callgraph.xml";"avg";"UOI";418;0;12;0;2323;5504;219.763547;59.539409;32.785714;186.977833;26.753695;0.315577;0.680903;0.242821;0.019139;0.416268;0.397129;0.117225;0.437799;0.635468
"gson";"callgraph.xml";"avg";"ROR";703;0;28;0;2323;5504;197.229630;57.447407;34.432593;162.797037;23.014815;0.393114;0.577412;0.208284;0.021337;0.362731;0.341394;0.197724;0.399716;0.527407
"gson";"callgraph.xml";"avg";"ABS";225;0;5;0;2323;5504;221.845455;53.172727;38.368182;183.477273;14.804545;0.284074;0.659446;0.212742;0.013333;0.422222;0.408889;0.102222;0.453333;0.518182
"gson";"callgraph.xml";"avg";"AOR";310;0;0;0;2323;5504;241.793548;40.154839;30.332258;211.461290;9.822581;0.174626;0.833440;0.200707;0.006452;0.596774;0.590323;0.038710;0.364516;0.593548
"gson";"callgraph_cha.xml";"avg";"LCR";431;0;32;0;2363;5798;549.994987;42.263158;41.616541;508.378446;0.646617;0.168025;0.879493;0.189350;0.013921;0.812065;0.798144;0.037123;0.076566;1.503759
"gson";"callgraph_cha.xml";"avg";"UOI";418;0;12;0;2363;5798;593.874384;59.539409;59.194581;534.679803;0.344828;0.162120;0.952266;0.204747;0.016746;0.918660;0.901914;0.016746;0.035885;1.652709
"gson";"callgraph_cha.xml";"avg";"ROR";703;0;27;0;2363;5798;622.926036;57.571006;57.118343;565.807692;0.452663;0.136171;0.943281;0.170139;0.021337;0.927454;0.906117;0.011380;0.022760;1.677515
"gson";"callgraph_cha.xml";"avg";"ABS";225;0;5;0;2363;5798;639.631818;53.172727;53.150000;586.481818;0.022727;0.112000;0.973310;0.159103;0.013333;0.964444;0.951111;0.004444;0.008889;1.804545
"gson";"callgraph_cha.xml";"avg";"AOR";310;0;0;0;2363;5798;640.574194;40.154839;40.141935;600.432258;0.012903;0.086304;0.999967;0.134139;0.006452;0.987097;0.980645;0.000000;0.012903;1.709677
