#Extracted using:
#./run pminer globalperf /tmp/PropagationAnalysis-dataset/musco/ /tmp/javapdg/bak/db/ -j -c ";" -v -t > javapdg_cia.csv
"Project";"graph";"Type";"Op";"nbmut";"nbalives";"nunbound";"nisolated";"nbnodes";"nbedges";"CIS";"AIS";"CAIS";"FPIS";"DIS";"prec";"recall";"fscore";"S";"C";"O";"U";"D";"time"
"jgit";"pdg_jgit";"avg";"ROR";356;0;129;0;11571;31647;212.295154;104.022026;48.321586;163.973568;55.700441;0.341132;0.328281;0.151328;0.022472;0.205056;0.182584;0.202247;0.230337;5.775330
"jgit";"pdg_jgit";"avg";"ABS";199;0;90;0;11571;31647;168.715596;93.348624;35.908257;132.807339;57.440367;0.311775;0.253005;0.119882;0.020101;0.155779;0.135678;0.180905;0.211055;4.899083
"jgit";"pdg_jgit";"avg";"AOR";386;0;189;0;11571;31647;227.705584;88.050761;55.406091;172.299492;32.644670;0.227953;0.310083;0.128988;0.007772;0.181347;0.173575;0.116580;0.212435;3.101523
"commons-io";"pdg_commons-io";"avg";"LCR";446;0;102;0;2382;3634;16.276163;4.183140;3.494186;12.781977;0.688953;0.323942;0.658433;0.299008;0.056054;0.603139;0.547085;0.098655;0.069507;0.235465
"commons-io";"pdg_commons-io";"avg";"UOI";351;0;175;0;2382;3634;11.454545;5.085227;3.755682;7.698864;1.329545;0.322236;0.405579;0.273426;0.142450;0.376068;0.233618;0.091168;0.034188;0.210227
"commons-io";"pdg_commons-io";"avg";"ROR";454;0;154;0;2382;3634;11.456667;5.316667;4.023333;7.433333;1.293333;0.421146;0.524462;0.355662;0.140969;0.469163;0.328194;0.132159;0.059471;0.323333
"commons-io";"pdg_commons-io";"avg";"ABS";251;0;102;0;2382;3634;8.986577;5.872483;3.979866;5.006711;1.892617;0.419546;0.430510;0.315227;0.127490;0.382470;0.254980;0.179283;0.031873;0.208054
"commons-io";"pdg_commons-io";"avg";"AOR";387;0;242;0;2382;3634;7.682759;4.413793;2.820690;4.862069;1.593103;0.274588;0.289810;0.221215;0.136951;0.273902;0.136951;0.077519;0.023256;0.048276
"shindig";"pdg_shindig";"avg";"LCR";300;0;25;0;1410;2020;7.767273;4.930909;2.625455;5.141818;2.305455;0.549125;0.614182;0.365647;0.143333;0.536667;0.393333;0.236667;0.143333;0.250909
"shindig";"pdg_shindig";"avg";"UOI";251;0;32;0;1410;2020;5.424658;4.634703;2.369863;3.054795;2.264840;0.611358;0.626323;0.467924;0.274900;0.573705;0.298805;0.191235;0.107570;0.146119
"shindig";"pdg_shindig";"avg";"ROR";338;0;36;0;1410;2020;6.533113;6.956954;2.668874;3.864238;4.288079;0.618003;0.553261;0.383168;0.183432;0.479290;0.295858;0.275148;0.139053;0.271523
"shindig";"pdg_shindig";"avg";"ABS";247;0;51;0;1410;2020;5.438776;3.244898;2.367347;3.071429;0.877551;0.555002;0.590291;0.430339;0.251012;0.542510;0.291498;0.161943;0.089069;0.137755
"shindig";"pdg_shindig";"avg";"AOR";314;0;61;0;1410;2020;4.268775;2.276680;1.438735;2.830040;0.837945;0.544892;0.597239;0.437217;0.312102;0.576433;0.264331;0.140127;0.089172;0.039526
"commons-collections";"pdg_commons-collections";"avg";"LCR";332;0;69;0;6008;7747;2.490494;9.155894;1.433460;1.057034;7.722433;0.646270;0.412382;0.350591;0.201807;0.388554;0.186747;0.328313;0.075301;2.935361
"commons-collections";"pdg_commons-collections";"avg";"UOI";386;0;150;0;6008;7747;2.703390;11.851695;1.402542;1.300847;10.449153;0.536947;0.234117;0.222760;0.170984;0.207254;0.036269;0.339378;0.064767;1.783898
"commons-collections";"pdg_commons-collections";"avg";"ROR";381;0;83;0;6008;7747;2.362416;14.822148;1.362416;1.000000;13.459732;0.655547;0.263608;0.225729;0.115486;0.212598;0.097113;0.461942;0.107612;2.798658
"commons-collections";"pdg_commons-collections";"avg";"ABS";220;0;71;0;6008;7747;2.100671;17.442953;0.939597;1.161074;16.503356;0.571154;0.218228;0.188386;0.122727;0.195455;0.072727;0.404545;0.077273;2.375839
"commons-collections";"pdg_commons-collections";"avg";"AOR";380;0;194;0;6008;7747;2.322581;12.752688;0.956989;1.365591;11.795699;0.431018;0.132552;0.123747;0.097368;0.121053;0.023684;0.323684;0.044737;0.241935
"gson";"pdg_gson";"avg";"LCR";431;0;43;0;2630;5492;126.750000;35.984536;16.090206;110.659794;19.894330;0.407538;0.527451;0.222015;0.020882;0.373550;0.352668;0.234339;0.292343;0.500000
"gson";"pdg_gson";"avg";"UOI";418;0;12;0;2630;5492;149.950739;56.088670;27.906404;122.044335;28.182266;0.348701;0.632357;0.244009;0.019139;0.409091;0.389952;0.138756;0.423445;0.327586
"gson";"pdg_gson";"avg";"ROR";703;0;82;0;2630;5492;155.449275;59.966184;35.732689;119.716586;24.233494;0.356644;0.540058;0.221052;0.021337;0.339972;0.318634;0.140825;0.402560;0.400966
"gson";"pdg_gson";"avg";"ABS";225;0;19;0;2630;5492;165.616505;57.572816;39.456311;126.160194;18.116505;0.274577;0.612481;0.235011;0.008889;0.377778;0.368889;0.057778;0.480000;0.310680
"gson";"pdg_gson";"avg";"AOR";310;0;1;0;2630;5492;164.343042;40.265372;25.501618;138.841424;14.763754;0.192602;0.782242;0.204575;0.006452;0.583871;0.577419;0.035484;0.377419;0.171521
