count;max;mutid;#E;predtime;#inter;+WG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
408;543;1357743591737;825;0;53;26;20;20;20;20;20;20;20;20;20;20
409;543;1357742392893;825;1;100;50;0;0;0;0;0;0;0;0;0;0
410;543;1357744045847;825;0;38;19;5;5;5;5;5;5;5;5;5;5
411;543;1357742365065;825;0;19;9;4;1;1;1;1;1;1;1;1;1
412;543;1357743497987;825;0;11;5;3;3;3;3;3;3;3;3;3;3
413;543;1357742911925;825;0;8;4;5;5;5;5;5;5;5;5;5;5
414;543;1357742872612;825;0;2;1;9;1;1;1;1;1;1;1;1;1
415;543;1357743244159;825;0;1;0;1;0;0;0;0;0;0;0;0;0
416;543;1357742092018;825;1;8;4;8;7;6;6;5;5;5;5;5;5
417;543;1357743521456;825;0;3;1;7;1;1;1;1;1;1;1;1;1
418;543;1357743216706;825;1;52;26;3;3;3;3;3;3;3;3;3;3
419;543;1357742169472;825;0;10;5;0;0;0;0;0;0;0;0;0;0
420;543;1357743493800;825;0;2;1;11;1;1;1;1;1;1;1;1;1
421;543;1357742827675;825;0;38;19;2;2;2;2;2;2;2;2;2;2
422;543;1357742199878;825;0;3;1;7;1;1;1;1;1;1;1;1;1
423;543;1357742702768;825;1;0;-1;9;9;3;3;3;3;3;3;3;3
424;543;1357742787331;825;0;9;4;7;7;7;7;7;7;7;7;7;7
425;543;1357742799315;825;0;8;4;8;7;6;6;6;6;6;6;6;6
426;543;1357742165503;825;0;53;26;3;3;3;3;3;3;3;3;3;3
427;543;1357743187987;825;2;50;25;44;37;24;20;17;16;17;16;19;16
428;543;1357743901425;825;0;1;0;1;0;0;0;0;0;0;0;0;0
429;543;1357742343722;825;2;0;-1;7;7;0;0;0;0;0;0;0;0
430;543;1357743127315;825;0;9;4;7;7;7;7;7;7;7;7;7;7
431;543;1357743024206;825;1;103;51;2;1;1;1;1;1;1;1;1;1
432;543;1357742739815;825;1;3;1;0;0;0;0;0;0;0;0;0;0
