count;max;mutid;#E;predtime;#inter;+WG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
476;599;1358280419778;11896;143;2041;1020;57;23;29;6;0;0;0;0;8;2
477;599;1358267865205;11896;10;815;407;2;1;0;1;0;1;0;1;0;1
478;599;1358266734325;11896;5;150;75;1;1;1;1;1;1;1;1;1;1
479;599;1358263517136;11896;44;2262;1131;9;9;5;6;5;6;5;6;5;6
480;599;1358263998167;11896;43;2;-1;28;28;10;10;2;2;2;2;2;2
481;599;1358269652763;11896;47;2533;1266;2;2;1;1;1;1;1;1;1;1
482;599;1358261071085;11896;42;2288;1144;3;3;3;3;3;3;3;3;3;3
483;599;1358264149033;11896;7;150;75;0;0;0;0;0;0;0;0;0;0
484;599;1358268253055;11896;22;2294;1147;1;1;1;1;1;1;1;1;1;1
485;599;1358264852775;11896;4;21;10;4;4;4;4;4;4;4;4;4;4
486;599;1358259573243;11896;2518;1792;896;192;81;66;62;57;57;64;61;57;57
487;599;1358271386218;11896;370;1793;896;9;3;1;1;1;1;1;1;1;1
488;599;1358278567399;11896;2495;666;333;25;2;0;0;0;0;0;0;0;0
489;599;1358280770444;11896;5;150;75;1;1;1;1;1;1;1;1;1;1
490;599;1358271593312;11896;11;2388;1194;5;4;5;4;5;4;5;4;5;4
491;599;1358281352635;11896;29;21;10;14;10;0;0;0;0;0;0;0;0
492;599;1358263665151;11896;11;2623;1311;3;3;3;3;3;3;3;3;3;3
493;599;1358264281878;11896;278;1796;898;177;104;90;64;52;53;53;54;52;53
494;599;1358265691750;11896;5;150;75;0;0;0;0;0;0;0;0;0;0
495;599;1358261269106;11896;61;578;289;2;0;0;0;0;0;0;0;0;0
496;599;1358266886511;11896;5;0;-1;0;0;0;0;392;392;0;0;0;0
497;599;1358268403608;11896;6;150;75;0;0;0;0;0;0;0;0;0;0
498;599;1358279827859;11896;95;2531;1265;13;10;10;9;8;9;8;9;8;9
499;599;1358269500371;11896;29;11;-1;4;4;1;1;393;393;1;1;1;1
500;599;1358266090383;11896;29;3232;1616;0;1;0;1;0;0;0;0;0;1
501;599;1358269005994;11896;21;2294;1147;1;1;1;1;1;1;1;1;1;1
502;599;1358263038521;11896;256;0;-1;220;220;34;34;392;392;20;20;35;35
503;599;1358271807495;11896;280;2200;1100;40;15;1;1;1;1;1;1;1;1
504;599;1358260345527;11896;11;2434;1217;0;0;0;0;0;0;0;0;0;0
505;599;1358260159851;11896;2449;1931;965;66;9;0;0;0;0;0;0;0;0
