count;max;mutid;#fold;learntime;#E;predtime;#Eon;#inter;+WG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
57;599;1358270900988;1;1302932;3030;83;3030;3;1;19;0;0;0;0;0;0;0;0;0
58;599;1358279177034;1;1302932;3030;16;3030;199;99;2;1;1;1;1;1;1;1;1;1
59;599;1358259210538;1;1302932;3030;56;3030;195;97;3;0;0;0;0;0;0;0;0;0
60;599;1358269558468;2;1302932;3056;5;3056;3;1;0;0;0;0;0;0;0;0;0;0
61;599;1358288170721;2;1302932;3056;5;3056;4;-1;0;0;0;0;0;0;0;0;0;0
62;599;1358262129833;2;1302932;3056;46;3056;207;103;16;0;1;0;0;0;0;0;1;0
63;599;1358271807495;2;1302932;3056;85;3056;210;105;40;7;1;0;1;0;1;0;1;0
64;599;1358279529212;2;1302932;3056;9;3056;242;121;0;0;0;0;0;0;0;0;0;0
65;599;1358288471068;2;1302932;3056;920;3056;67;33;248;27;15;5;3;2;112;20;3;2
66;599;1358279991319;2;1302932;3056;6;3056;6;3;4;2;4;2;4;2;4;2;4;2
67;599;1358262852835;2;1302932;3056;7;3056;179;89;1;1;1;1;1;1;1;1;1;1
68;599;1358268167537;2;1302932;3056;6;3056;179;89;2;1;2;1;2;1;2;1;2;1
69;599;1358282122586;2;1302932;3056;49;3056;259;-1;13;13;5;5;5;5;5;5;5;5
70;599;1358263697449;2;1302932;3056;11;3056;203;101;0;0;0;0;0;0;0;0;0;0
71;599;1358280802695;2;1302932;3056;8;3056;270;135;1;1;1;1;1;1;1;1;1;1
72;599;1358270239419;2;1302932;3056;11;3056;230;115;2;2;2;2;2;2;2;2;2;2
73;599;1358281103250;2;1302932;3056;10;3056;230;115;1;1;1;1;1;1;1;1;1;1
74;599;1358280292441;2;1302932;3056;9;3056;57;28;32;15;27;15;14;10;21;15;20;10
75;599;1358270089080;2;1302932;3056;14;3056;210;105;3;2;1;1;1;1;1;1;1;1
76;599;1358263248553;2;1302932;3056;32;3056;218;109;9;1;1;1;1;1;1;1;1;1
77;599;1358270791728;2;1302932;3056;8;3056;232;116;1;1;1;1;1;1;1;1;1;1
78;599;1358261734977;2;1302932;3056;8;3056;249;124;0;0;0;0;0;0;0;0;0;0
79;599;1358281322117;2;1302932;3056;18;3056;210;105;0;0;0;0;0;0;0;0;0;0
80;599;1358269652763;2;1302932;3056;17;3056;236;118;2;0;1;0;1;0;1;0;1;0
81;599;1358269965262;2;1302932;3056;167;3056;159;79;127;18;10;5;6;4;6;4;8;4
82;599;1358271245925;2;1302932;3056;8;3056;198;99;0;0;0;0;0;0;0;0;0;0
83;599;1358271386218;2;1302932;3056;99;3056;152;76;9;3;1;1;1;1;1;1;1;1
84;599;1358267093489;2;1302932;3056;5;3056;17;8;2;1;2;1;2;1;2;1;2;1
85;599;1358266643073;2;1302932;3056;13;3056;229;114;1;1;1;1;1;1;1;1;1;1
86;599;1358283027045;2;1302932;3056;5;3056;17;8;2;1;2;1;2;1;2;1;2;1
87;599;1358261953475;2;1302932;3056;14;3056;202;101;1;0;0;0;0;0;0;0;0;0
88;599;1358262881763;2;1302932;3056;22;3056;190;95;31;21;20;12;14;11;16;11;14;11
89;599;1358271995629;2;1302932;3056;409;3056;0;-1;141;141;0;0;392;392;0;0;34;34
