count;max;mutid;#E;predtime;#inter;+WG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
83;600;1357992720645;6515;19;126;63;12;0;8;0;0;0;0;0;0;0
84;600;1358001407249;6515;182;682;341;5;1;0;0;0;0;0;0;0;0
85;600;1358006433449;6515;204;1543;771;190;152;32;14;8;6;13;6;8;6
86;600;1358002317130;6515;491;1543;771;1;1;0;0;0;0;0;0;0;0
87;600;1357994270055;6515;21;1543;771;4;4;2;2;1;1;1;1;1;1
88;600;1358005164352;6515;107;1543;771;1;1;0;0;0;0;0;0;0;0
89;600;1358002527238;6515;166;632;316;261;105;128;94;32;32;73;71;32;32
90;600;1358004635180;6515;3843;468;234;89;34;16;16;16;16;26;22;16;16
91;600;1358007973354;6515;216;1543;771;99;58;40;34;28;28;33;29;28;28
92;600;1357995380765;6515;38;1557;-1;63;63;36;36;36;36;36;36;36;36
93;600;1358004248205;6515;1421;1543;771;30;24;0;0;0;0;0;0;0;0
94;600;1357999957471;6515;13;1574;787;0;0;0;0;0;0;0;0;0;0
95;600;1357991703529;6515;137;1549;774;3;0;0;0;0;0;0;0;0;0
96;600;1357992447936;6515;13;1550;775;0;0;0;0;0;0;0;0;0;0
97;600;1358001560941;6515;1602;1543;771;18;16;0;0;0;0;0;0;0;0
98;600;1357994114616;6515;341;1543;-1;7;7;1;1;1;1;1;1;1;1
99;600;1358006063050;6515;144;1543;-1;13;13;10;10;6;6;6;6;6;6
100;600;1358002173748;6515;89;1543;771;2;2;2;2;2;2;2;2;2;2
101;600;1357995138479;6515;17;468;234;83;71;55;46;13;13;17;17;16;16
102;600;1358002119833;6515;127;91;45;0;0;0;0;0;0;0;0;0;0
103;600;1357992904716;6515;80;1550;775;0;0;0;0;0;0;0;0;0;0
104;600;1357994018366;6515;169;1549;774;3;1;0;0;0;0;0;0;0;0
105;600;1358002094454;6515;2400;1543;771;20;19;0;0;0;0;0;0;0;0
106;600;1357999730626;6515;177;1563;781;5;4;2;1;2;1;2;1;2;1
107;600;1357995892073;6515;64;1543;771;0;0;0;0;0;0;0;0;0;0
108;600;1358001065969;6515;1687;468;234;47;17;0;0;0;0;0;0;0;0
109;600;1357991271405;6515;537;1564;782;10;8;1;1;1;1;1;1;1;1
110;600;1357993347849;6515;21;1549;774;0;0;0;0;0;0;0;0;0;0
111;600;1357992960374;6515;21;1550;775;0;0;0;0;0;0;0;0;0;0
112;600;1358003234264;6515;81;1550;775;0;0;0;0;0;0;0;0;0;0
113;600;1358000538291;6515;97;1543;771;50;13;1;1;1;1;1;1;1;1
114;600;1357999880730;6515;13;1574;787;0;0;0;0;0;0;0;0;0;0
115;600;1358001951708;6515;74;1543;-1;61;61;10;10;8;8;8;8;10;10
116;600;1357993930886;6515;17;468;234;83;71;55;46;13;13;17;17;16;16
117;600;1358003102947;6515;3166;1543;771;47;32;0;0;0;0;0;0;0;0
118;600;1358000560178;6515;945;91;-1;65;65;2;2;2;2;2;2;2;2
119;600;1358003085522;6515;757;1543;771;123;71;29;23;3;3;3;3;3;3
120;600;1358005625910;6515;262;1543;771;12;2;7;0;0;0;0;0;0;0
121;600;1357992013922;6515;46;1550;775;2;2;2;2;2;2;2;2;2;2
122;600;1358007382704;6515;30;1572;786;6;5;4;3;1;1;1;1;1;1
123;600;1358002001516;6515;39;1563;781;2;2;2;2;2;2;2;2;2;2
124;600;1358006553154;6515;21;1543;771;5;5;1;1;1;1;1;1;1;1
125;600;1357992041474;6515;172;1549;774;33;33;17;17;9;9;9;9;12;12
126;600;1357995299020;6515;97;1543;-1;34;34;11;11;3;3;3;3;3;3
127;600;1357993408925;6515;64;1550;775;36;2;1;1;1;1;1;1;1;1
128;600;1357991650894;6515;302;468;234;200;115;66;52;20;20;31;31;29;28
129;600;1357994803720;6515;16;468;234;83;71;55;46;13;13;17;17;16;16
130;600;1358007408382;6515;13;1544;772;0;0;0;0;0;0;0;0;0;0
131;600;1358005333493;6515;38;1557;778;1;1;1;1;1;1;1;1;1;1
132;600;1358003711082;6515;210;1549;774;0;0;0;0;0;0;0;0;0;0
133;600;1358005588470;6515;623;1543;771;48;40;6;2;2;2;2;2;2;2
134;600;1358000733335;6515;30;1572;786;9;5;7;3;1;1;1;1;2;2
135;600;1358006356902;6515;325;632;316;288;113;82;65;39;36;47;42;41;36
136;600;1358001212175;6515;222;1549;774;2;2;2;2;2;2;2;2;2;2
137;600;1358001682391;6515;30;1550;775;0;0;0;0;0;0;0;0;0;0
138;600;1358006134024;6515;1368;468;234;29;12;0;0;0;0;0;0;0;0
139;600;1358003496336;6515;8;2;1;1;0;0;0;0;0;0;0;0;0
140;600;1358002408091;6515;124;21;10;3;1;1;1;1;1;1;1;1;1
141;600;1358007690857;6515;13;1572;786;0;0;0;0;0;0;0;0;0;0
142;600;1358006019352;6515;30;94;47;1;1;1;1;1;1;1;1;1;1
143;600;1358006295264;6515;180;468;234;329;133;114;67;23;23;56;41;24;23
144;600;1357995946183;6515;171;468;234;3;3;0;0;0;0;0;0;0;0
145;600;1358005442614;6515;17;468;234;83;71;55;46;13;13;17;17;16;16
146;600;1358004670378;6515;17;468;234;83;71;55;46;13;13;17;17;16;16
147;600;1358006987855;6515;138;632;316;347;159;163;113;66;63;102;85;66;63
148;600;1357991909729;6515;115;1549;774;3;3;2;2;2;2;2;2;2;2
149;600;1358007716850;6515;26;91;45;0;0;0;0;0;0;0;0;0;0
150;600;1357994632961;6515;21;1543;771;35;30;21;18;15;12;15;12;15;12
151;600;1358005182939;6515;17;468;234;83;71;55;46;13;13;17;17;16;16
152;600;1358007213151;6515;179;468;234;276;123;99;58;22;22;37;30;23;22
153;600;1357992115329;6515;221;632;316;131;85;73;67;62;59;70;65;64;61
154;600;1358001111133;6515;8;14;7;5;0;0;0;0;0;0;0;0;0
155;600;1358000462131;6515;1024;1543;771;64;52;0;0;0;0;0;0;0;0
156;600;1358001732799;6515;11;468;234;0;0;0;0;0;0;0;0;0;0
157;600;1358004167331;6515;264;1543;771;7;3;0;0;0;0;0;0;0;0
158;600;1358000657358;6515;37;51;25;0;0;0;0;0;0;0;0;0;0
159;600;1357995836861;6515;12;1567;783;1;1;1;1;1;1;1;1;1;1
160;600;1358000020382;6515;214;1543;771;1;1;0;0;0;0;0;0;0;0
161;600;1358004759186;6515;21;1548;774;6;6;6;6;6;6;6;6;6;6
162;600;1357991197579;6515;151;1543;771;44;41;9;9;0;0;0;0;0;0
163;600;1358000045441;6515;13;91;45;0;0;0;0;0;0;0;0;0;0
164;600;1358001430636;6515;29;1549;774;0;0;0;0;0;0;0;0;0;0
165;600;1358007768050;6515;204;1549;774;82;78;45;45;3;3;3;3;5;5
166;600;1358005707711;6515;38;1563;781;1;1;1;1;1;1;1;1;1;1
167;600;1358004190230;6515;21;1543;771;0;0;0;0;0;0;0;0;0;0
168;600;1358006481447;6515;8;15;7;3;1;3;1;1;1;1;1;3;1
169;600;1358005830106;6515;209;1543;771;0;0;0;0;0;0;0;0;0;0
170;600;1357993014723;6515;13;1551;775;5;5;5;5;5;5;5;5;5;5
171;600;1357993039904;6515;16;652;326;46;14;46;14;13;13;13;13;13;13
172;600;1358000809173;6515;158;1549;774;19;19;1;1;1;1;1;1;1;1
173;600;1358005401207;6515;1963;125;62;72;0;0;0;0;0;0;0;0;0
174;600;1357999636311;6515;30;1550;775;0;0;0;0;0;0;0;0;0;0
175;600;1358007518691;6515;46;1543;-1;565;565;565;565;549;549;565;565;565;565
176;600;1358002999902;6515;39;1563;781;1;1;1;1;1;1;1;1;1;1
177;600;1358005284859;6515;13;1552;776;3;3;3;3;3;3;3;3;3;3
178;600;1358002758802;6515;98;1564;782;1;1;0;0;0;0;0;0;0;0
179;600;1358003181314;6515;117;1543;771;1;1;1;1;1;1;1;1;1;1
180;600;1357991105300;6515;47;1549;774;0;0;0;0;0;0;0;0;0;0
181;600;1358007237235;6515;72;1543;-1;648;648;648;648;548;548;648;648;648;648
182;600;1358007666156;6515;3132;630;315;98;39;1;1;1;1;1;1;1;1
183;600;1357995533042;6515;30;1572;786;6;5;4;3;1;1;1;1;1;1
184;600;1358003471595;6515;844;632;316;6;0;0;0;0;0;0;0;0;0
185;600;1357993297235;6515;91;1549;774;10;8;4;2;0;0;0;0;1;1
186;600;1358000915693;6515;519;748;374;4;0;0;0;0;0;0;0;0;0
187;600;1357993734665;6515;18;468;234;83;71;55;46;13;13;17;17;16;16
188;600;1358001865080;6515;466;1543;-1;47;47;7;7;7;7;7;7;7;7
189;600;1357994947821;6515;17;468;234;83;71;55;46;13;13;17;17;16;16
190;600;1358003809581;6515;333;1571;785;1;1;0;0;0;0;0;0;0;0
191;600;1358000250111;6515;155;1563;781;1;1;0;0;0;0;0;0;0;0
192;600;1358005939784;6515;64;1543;771;0;0;0;0;0;0;0;0;0;0
193;600;1357990932758;6515;1663;468;234;199;41;18;12;7;7;17;11;7;7
194;600;1358001331092;6515;64;1543;771;0;0;0;0;0;0;0;0;0;0
195;600;1358001527049;6515;153;1563;781;0;0;0;0;0;0;0;0;0;0
196;600;1358002223070;6515;46;1549;774;1;0;0;0;0;0;0;0;0;0
197;600;1357991847060;6515;1229;468;234;41;15;3;0;0;0;0;0;0;0
198;600;1357992581566;6515;82;1550;775;0;0;0;0;0;0;0;0;0;0
199;600;1358003284887;6515;29;1549;774;0;0;0;0;0;0;0;0;0;0
200;600;1358002973507;6515;115;91;45;0;0;0;0;0;0;0;0;0;0
201;600;1358003191137;6515;4034;638;319;51;1;1;1;1;1;1;1;1;1
202;600;1358003566952;6515;244;1543;771;1;1;0;0;0;0;0;0;0;0
203;600;1357991245845;6515;63;1543;771;0;0;0;0;0;0;0;0;0;0
204;600;1357995790430;6515;14;640;-1;4;4;1;1;1;1;1;1;1;1
205;600;1358006825853;6515;523;1544;772;26;14;13;7;0;0;2;2;0;0
206;600;1357994352819;6515;749;1543;771;178;117;19;12;2;2;2;2;2;2
207;600;1358004120494;6515;1988;125;62;50;10;0;0;0;0;0;0;0;0
208;600;1358000871545;6515;1558;748;374;56;5;0;0;0;0;0;0;0;0
209;600;1357991477676;6515;132;640;320;352;121;155;96;55;55;81;60;63;55
210;600;1357990864634;6515;47;1543;771;0;0;0;0;0;0;0;0;0;0
211;600;1358003686086;6515;556;1564;782;3;1;0;0;0;0;0;0;0;0
212;600;1358005915241;6515;143;1543;-1;9;9;6;6;2;2;2;2;2;2
213;600;1357994879470;6515;64;1550;775;0;0;0;0;0;0;0;0;0;0
214;600;1358007556845;6515;2718;638;319;178;94;39;17;11;11;40;17;13;11
215;600;1357993384923;6515;17;468;234;83;71;55;46;13;13;17;17;16;16
216;600;1358008262428;6515;1852;1543;771;78;62;2;0;0;0;0;0;0;0
217;600;1358006623772;6515;191;468;234;16;5;6;2;2;2;2;2;2;2
218;600;1357991393779;6515;191;1549;774;0;0;0;0;0;0;0;0;0;0
219;600;1357993217098;6515;17;468;234;83;71;55;46;13;13;17;17;16;16
220;600;1358002452764;6515;224;1543;771;64;33;2;2;0;0;0;0;0;0
221;600;1357994157372;6515;16;468;234;83;71;55;46;13;13;17;17;16;16
222;600;1358005091809;6515;21;1543;771;0;0;0;0;0;0;0;0;0;0
223;600;1358006407831;6515;140;632;316;10;4;0;0;0;0;0;0;0;0
224;600;1357993632969;6515;47;1550;775;2;2;2;2;2;2;2;2;2;2
225;600;1357999782166;6515;88;1543;771;1;1;1;1;1;1;1;1;1;1
226;600;1358004625454;6515;2073;125;62;54;6;0;0;0;0;0;0;0;0
227;600;1358000171544;6515;55;1548;774;0;0;0;0;0;0;0;0;0;0
228;600;1358001231509;6515;3027;468;234;90;20;0;0;0;0;0;0;0;0
229;600;1358007867971;6515;13;468;234;18;18;18;18;18;18;18;18;18;18
230;600;1357993479904;6515;108;1543;771;0;0;0;0;0;0;0;0;0;0
231;600;1357994454895;6515;38;1563;781;8;4;8;4;8;4;8;4;8;4
232;600;1357993521005;6515;204;1543;771;1;1;0;0;0;0;0;0;0;0
233;600;1358005601000;6515;4009;630;315;109;53;3;3;3;3;3;3;3;3
234;600;1358005731741;6515;142;640;320;11;11;10;10;10;10;10;10;10;10
235;600;1357995713822;6515;47;1564;782;0;0;0;0;0;0;0;0;0;0
236;600;1358003210951;6515;926;1543;771;44;29;4;0;0;0;0;0;0;0
237;600;1358007261551;6515;99;0;-1;10;10;0;0;480;480;0;0;4;4
238;600;1357991865905;6515;1508;748;374;54;6;0;0;0;0;0;0;0;0
239;600;1358004939560;6515;176;1543;771;4;1;0;0;0;0;0;0;0;0
240;600;1357991625169;6515;76;1549;774;1;1;1;1;1;1;1;1;1;1
241;600;1357992348215;6515;38;1563;781;1;1;1;1;1;1;1;1;1;1
242;600;1358005468044;6515;26;7;3;0;0;0;0;0;0;0;0;0;0
243;600;1357995608913;6515;30;1549;774;0;0;0;0;0;0;0;0;0;0
244;600;1358002784030;6515;206;1564;782;1;1;0;0;0;0;0;0;0;0
245;600;1358007456242;6515;13;1551;775;2;2;2;2;2;2;2;2;2;2
246;600;1358006458112;6515;8;44;22;0;0;0;0;0;0;0;0;0;0
247;600;1358000610075;6515;236;1543;771;10;0;7;0;0;0;0;0;0;0
248;600;1358006753873;6515;27;51;25;0;0;0;0;0;0;0;0;0;0
249;600;1358003591842;6515;877;1543;771;134;85;32;26;4;4;9;7;4;4
250;600;1358008100871;6515;108;1563;781;10;9;9;8;9;8;9;8;9;8
251;600;1358000587100;6515;183;1543;771;65;34;2;2;0;0;0;0;0;0
252;600;1358000994244;6515;12;1551;775;0;0;0;0;0;0;0;0;0;0
253;600;1357992400602;6515;90;1549;774;0;0;0;0;0;0;0;0;0;0
254;600;1358007014393;6515;179;1543;771;278;242;156;153;61;60;93;92;65;64
255;600;1358007891712;6515;798;632;316;265;96;43;37;34;31;41;36;34;31
256;600;1358006727449;6515;551;1564;782;5;3;0;0;0;0;0;0;0;0
257;600;1357993753241;6515;17;468;234;83;71;55;46;13;13;17;17;16;16
258;600;1358000277706;6515;129;1564;782;8;3;1;1;1;1;1;1;1;1
259;600;1358005238358;6515;4031;630;315;68;30;1;1;1;1;1;1;1;1
260;600;1358006850099;6515;47;1549;774;19;15;11;11;10;10;10;10;10;10
261;600;1357992212711;6515;317;468;234;200;115;66;52;20;20;31;31;29;28
262;600;1357994990603;6515;1460;1549;774;37;37;0;0;0;0;0;0;0;0
263;600;1357993107616;6515;40;1563;781;2;1;2;1;2;1;2;1;2;1
264;600;1358001588561;6515;38;1563;781;3;3;3;3;3;3;3;3;3;3
265;600;1358005749131;6515;17;468;234;83;71;55;46;13;13;17;17;16;16
266;600;1358004982480;6515;16;468;234;83;71;55;46;13;13;17;17;16;16
267;600;1358005565886;6515;98;1564;782;1;1;0;0;0;0;0;0;0;0
268;600;1357991576199;6515;39;1563;781;4;4;4;4;4;4;4;4;4;4
269;600;1357995324797;6515;89;1549;774;0;0;0;0;0;0;0;0;0;0
270;600;1358006212065;6515;12;1551;775;0;0;0;0;0;0;0;0;0;0
271;600;1358001614215;6515;41;1543;771;0;0;0;0;0;0;0;0;0;0
272;600;1358003354354;6515;56;1564;782;4;1;3;1;3;1;3;1;3;1
273;600;1358002075104;6515;1631;1543;771;111;64;1;1;1;1;1;1;1;1
274;600;1357994183424;6515;30;1550;775;0;0;0;0;0;0;0;0;0;0
275;600;1358001479074;6515;13;1550;775;0;0;0;0;0;0;0;0;0;0
276;600;1358005807071;6515;846;1543;771;13;5;0;0;0;0;0;0;0;0
277;600;1358004777713;6515;17;468;234;83;71;55;46;13;13;17;17;16;16
278;600;1357991152766;6515;16;652;326;127;94;127;94;94;93;94;93;94;93
279;600;1357992696435;6515;37;1549;774;0;0;0;0;0;0;0;0;0;0
280;600;1358003519698;6515;74;1543;771;11;4;6;4;2;1;2;1;3;1
281;600;1357993198818;6515;115;91;45;0;0;0;0;0;0;0;0;0;0
282;600;1357994756761;6515;17;468;234;83;71;55;46;13;13;17;17;16;16
283;600;1358007155334;6515;909;1543;771;44;29;4;0;0;0;0;0;0;0
284;600;1358002899392;6515;21;468;234;38;37;35;34;0;0;1;1;2;2
285;600;1358002244805;6515;485;1543;-1;44;44;3;3;3;3;3;3;3;3
286;600;1358003853185;6515;13;1567;783;1;1;1;1;1;1;1;1;1;1
287;600;1357999906790;6515;21;1543;771;5;5;1;1;1;1;1;1;1;1
288;600;1358003762354;6515;13;1592;796;1;1;1;1;1;1;1;1;1;1
289;600;1358002948384;6515;22;94;47;1;1;1;1;1;1;1;1;1;1
