count;max;mutid;#E;predtime;#inter;+WG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
285;411;1357740729285;645;0;5;2;5;4;5;4;3;3;3;3;5;4
286;411;1357740592191;645;0;14;7;2;1;1;1;1;1;1;1;1;1
287;411;1357740675175;645;0;114;57;1;1;1;1;1;1;1;1;1;1
288;411;1357740385925;645;0;67;33;1;0;1;0;1;0;1;0;1;0
289;411;1357740610347;645;1;12;6;4;2;2;1;1;1;1;1;2;1
290;411;1357741325300;645;0;5;2;5;2;3;2;1;1;1;1;3;2
291;411;1357741314535;645;1;12;6;4;3;3;3;3;3;3;3;3;3
292;411;1357741039535;645;0;14;7;2;1;1;1;1;1;1;1;1;1
293;411;1357740644316;645;0;5;2;3;2;3;2;1;1;1;1;3;2
294;411;1357741205738;645;0;70;35;1;1;1;1;1;1;1;1;1;1
295;411;1357741431988;645;0;67;33;1;0;1;0;1;0;1;0;1;0
296;411;1357740871660;645;1;113;56;1;1;1;1;1;1;1;1;1;1
297;411;1357740462222;645;1;12;6;3;2;1;1;1;1;1;1;1;1
298;411;1357740760331;645;1;13;6;1;1;1;1;1;1;1;1;1;1
299;411;1357740848316;645;5;11;5;8;1;1;1;1;1;1;1;1;1
300;411;1357741421706;645;0;117;58;0;0;0;0;0;0;0;0;0;0
301;411;1357740646863;645;1;66;33;5;4;3;3;3;3;3;3;3;3
302;411;1357741211160;645;2;165;82;3;3;2;2;2;2;2;2;2;2
303;411;1357740804253;645;3;70;35;12;5;5;5;5;5;5;5;5;5
304;411;1357740369253;645;1;12;6;2;1;1;1;1;1;1;1;1;1
305;411;1357741333035;645;2;73;36;24;8;8;8;8;8;8;8;8;8
306;411;1357740501488;645;2;70;35;1;1;1;1;1;1;1;1;1;1
307;411;1357741192910;645;0;14;7;3;3;3;3;3;3;3;3;3;3
308;411;1357741223988;645;0;117;58;0;0;0;0;0;0;0;0;0;0
309;411;1357741031910;645;0;168;84;0;0;0;0;0;0;0;0;0;0
310;411;1357740454160;645;3;69;34;11;3;2;1;1;1;1;1;1;1
311;411;1357741185144;645;3;165;82;10;10;8;8;8;8;8;8;8;8
312;411;1357740524597;645;0;67;33;1;0;1;0;1;0;1;0;1;0
313;411;1357740830425;645;3;157;78;5;2;2;2;2;2;2;2;2;2
314;411;1357740433581;645;1;5;2;5;4;5;4;1;1;3;3;4;3
315;411;1357741151238;645;2;35;17;2;1;1;1;1;1;1;1;1;1
316;411;1357741335581;645;1;13;6;1;1;1;1;1;1;1;1;1;1
317;411;1357740558488;645;0;3;1;1;1;1;1;1;1;1;1;1;1
318;411;1357740498894;645;0;14;7;2;1;1;1;1;1;1;1;1;1
319;411;1357740910550;645;1;13;6;3;3;3;3;3;3;3;3;3;3
320;411;1357741400769;645;1;19;9;1;1;1;1;1;1;1;1;1;1
321;411;1357741003425;645;3;70;35;1;1;1;1;1;1;1;1;1;1
