count;max;mutid;#E;predtime;#inter;+WG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
484;537;1357642485675;1753;44;495;247;0;0;0;0;0;0;0;0;0;0
485;537;1357643077438;1753;18;495;247;11;5;7;3;3;3;3;3;5;3
486;537;1357643317700;1753;11;495;247;23;0;1;0;0;0;0;0;1;0
487;537;1357643614573;1753;22;495;247;10;1;1;1;1;1;1;1;1;1
488;537;1357643111037;1753;37;495;247;36;11;0;0;0;0;0;0;0;0
489;537;1357642339803;1753;6;495;247;15;0;1;0;0;0;0;0;1;0
490;537;1357643580989;1753;2;497;248;15;13;15;13;15;13;15;13;15;13
491;537;1357643035981;1753;8;495;247;0;0;0;0;0;0;0;0;0;0
492;537;1357643335666;1753;16;17;8;66;2;31;0;0;0;0;0;5;0
493;537;1357642719494;1753;15;495;247;41;22;24;6;3;3;3;3;20;3
494;537;1357643578424;1753;44;495;247;0;0;0;0;0;0;0;0;0;0
495;537;1357642612295;1753;144;495;247;1;0;0;0;0;0;0;0;0;0
496;537;1357643586198;1753;4;495;247;0;0;0;0;0;0;0;0;0;0
497;537;1357643105896;1753;319;11;-1;8;8;1;1;1;1;1;1;1;1
498;537;1357643158251;1753;20;495;247;2;0;0;0;0;0;0;0;0;0
499;537;1357643012527;1753;2;496;248;0;0;0;0;0;0;0;0;0;0
500;537;1357642916177;1753;10;495;247;4;0;0;0;0;0;0;0;0;0
501;537;1357642345110;1753;20;495;247;2;0;0;0;0;0;0;0;0;0
502;537;1357643484207;1753;163;11;-1;48;48;0;0;0;0;0;0;0;0
503;537;1357642501679;1753;10;495;247;23;0;1;0;0;0;0;0;1;0
504;537;1357642374800;1753;0;2;1;3;0;1;0;0;0;0;0;1;0
505;537;1357643552290;1753;1;498;-1;123;123;123;123;126;126;123;123;123;123
506;537;1357643651655;1753;16;495;247;6;1;0;0;0;0;0;0;0;0
507;537;1357643171314;1753;0;3;1;1;0;0;0;0;0;0;0;0;0
508;537;1357642599268;1753;12;93;46;4;1;1;1;1;1;1;1;1;1
509;537;1357642740288;1753;11;495;247;2;0;0;0;0;0;0;0;0;0
510;537;1357642803548;1753;1;1;0;0;0;0;0;0;0;0;0;0;0
511;537;1357642879395;1753;16;495;247;25;2;0;0;0;0;0;0;0;0
512;537;1357642567431;1753;6;495;247;15;0;1;0;0;0;0;0;1;0
513;537;1357643512766;1753;2;498;-1;134;134;134;134;134;134;134;134;134;134
514;537;1357643499820;1753;2;496;248;0;0;0;0;0;0;0;0;0;0
515;537;1357642466939;1753;12;93;46;27;2;11;1;1;1;3;1;7;1
516;537;1357643348996;1753;2;498;249;10;3;10;3;10;3;10;3;10;3
517;537;1357642890159;1753;24;495;247;10;0;0;0;0;0;0;0;0;0
518;537;1357642732450;1753;27;11;-1;53;53;18;18;0;0;5;5;0;0
519;537;1357643672563;1753;1;498;-1;104;104;104;104;112;112;104;104;104;104
520;537;1357642858695;1753;0;2;1;0;0;0;0;0;0;0;0;0;0
521;537;1357642960182;1753;12;495;247;2;0;0;0;0;0;0;0;0;0
522;537;1357643359408;1753;39;17;8;32;0;0;0;0;0;0;0;0;0
523;537;1357642625275;1753;12;495;247;1;0;0;0;0;0;0;0;0;0
524;537;1357643416354;1753;12;495;247;23;0;0;0;0;0;0;0;0;0
525;537;1357642638323;1753;31;495;247;17;17;15;15;3;3;4;4;3;3
526;537;1357642900705;1753;8;495;247;3;0;0;0;0;0;0;0;0;0
527;537;1357643625245;1753;1;496;248;0;0;0;0;0;0;0;0;0;0
528;537;1357643604327;1753;48;495;247;2;2;0;0;0;0;0;0;0;0
529;537;1357643064261;1753;14;495;247;8;4;0;0;0;0;0;0;0;0
530;537;1357643233975;1753;14;495;247;8;4;0;0;0;0;0;0;0;0
531;537;1357643263235;1753;30;495;247;5;0;0;0;0;0;0;0;0;0
532;537;1357642973263;1753;7;495;247;0;0;0;0;0;0;0;0;0;0
533;537;1357642546407;1753;16;495;247;23;13;21;12;8;8;10;9;13;8
534;537;1357642406215;1753;1;497;248;12;12;12;12;12;12;12;12;12;12
535;537;1357643709556;1753;2;498;249;80;51;80;51;80;51;80;51;80;51
536;537;1357642775133;1753;40;495;247;11;1;0;0;0;0;0;0;0;0
537;537;1357642811298;1753;2;1;0;0;0;0;0;0;0;0;0;0;0

