count;max;mutid;#E;predtime;#inter;+WG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
457;598;1357745843968;6723;46;915;457;7;2;2;2;2;2;2;2;2;2
458;598;1357740384704;6723;5;13;6;9;4;6;3;2;2;2;2;6;3
459;598;1357741844861;6723;4;66;33;3;1;0;0;0;0;0;0;0;0
460;598;1357740308548;6723;3;7;3;3;1;3;1;2;1;2;1;2;1
461;598;1357742379579;6723;22;878;439;29;13;12;5;3;3;3;3;3;3
462;598;1357742692814;6723;14;1013;506;5;3;0;0;0;0;0;0;0;0
463;598;1357744104626;6723;46;65;32;9;1;1;1;1;1;1;1;1;1
464;598;1357743591470;6723;1;10;5;0;0;0;0;0;0;0;0;0;0
465;598;1357745133187;6723;17;65;-1;9;9;3;3;448;448;4;4;8;8
466;598;1357746663328;6723;54;1;0;29;0;1;0;0;0;0;0;0;0
467;598;1357747413140;6723;82;878;439;10;2;1;1;1;1;1;1;1;1
468;598;1357741028611;6723;4;976;488;1;1;1;1;1;1;1;1;1;1
469;598;1357743420423;6723;2;74;37;0;0;0;0;0;0;0;0;0;0
470;598;1357740954236;6723;39;922;461;5;2;2;2;2;2;2;2;2;2
471;598;1357743725970;6723;5;282;141;2;1;1;1;1;1;1;1;1;1
472;598;1357743559611;6723;2;71;35;1;1;0;0;0;0;0;0;0;0
473;598;1357745790468;6723;107;915;457;19;2;1;1;1;1;1;1;1;1
474;598;1357747382546;6723;575;872;436;63;18;0;0;0;0;0;0;0;0
475;598;1357746078468;6723;4;7;3;3;1;3;1;2;1;2;1;2;1
476;598;1357742786251;6723;5;282;-1;1;1;1;1;0;0;0;0;1;1
477;598;1357741420111;6723;5;282;141;2;1;1;1;1;1;1;1;1;1
478;598;1357747107406;6723;100;917;458;33;13;1;1;1;1;1;1;1;1
479;598;1357741920548;6723;25;7;3;7;1;1;1;1;1;1;1;1;1
480;598;1357742293829;6723;9;1067;533;2;2;2;2;2;2;2;2;2;2
481;598;1357745487671;6723;7;1;0;6;0;0;0;0;0;0;0;0;0
482;598;1357742476142;6723;13;1044;522;4;4;4;4;4;4;4;4;4;4
483;598;1357740674454;6723;2;9;4;0;0;0;0;0;0;0;0;0;0
484;598;1357743611970;6723;5;1422;711;5;5;5;5;5;5;5;5;5;5
485;598;1357746895968;6723;38;7;3;5;0;0;0;0;0;0;0;0;0
486;598;1357742650673;6723;5;334;167;2;0;2;0;0;0;0;0;2;0
487;598;1357745667703;6723;4;1422;711;8;8;8;8;8;8;8;8;8;8
488;598;1357742091501;6723;41;7;3;7;2;1;1;1;1;1;1;1;1
489;598;1357740513204;6723;43;893;446;8;3;1;1;1;1;1;1;1;1
490;598;1357746208140;6723;7;680;340;2;1;1;1;1;1;1;1;1;1
491;598;1357743442236;6723;8;1067;533;0;0;0;0;0;0;0;0;0;0
492;598;1357745812234;6723;55;48;24;3;0;0;0;0;0;0;0;0;0
493;598;1357746716281;6723;42;893;446;7;3;1;1;1;1;1;1;1;1
494;598;1357741526611;6723;1;3;1;2;1;1;1;1;1;1;1;1;1
495;598;1357747338937;6723;4;1233;616;1;0;1;0;1;0;1;0;1;0
496;598;1357745582921;6723;4;282;141;2;1;1;1;1;1;1;1;1;1
497;598;1357741952376;6723;1;7;3;1;1;0;0;0;0;0;0;0;0
498;598;1357745823000;6723;28;326;163;9;2;4;1;3;1;3;1;3;1
499;598;1357742241126;6723;5;1422;711;1;1;1;1;1;1;1;1;1;1
500;598;1357746601171;6723;8;968;484;7;2;3;1;2;1;2;1;3;1
501;598;1357745295265;6723;2;72;36;1;1;1;1;1;1;1;1;1;1
502;598;1357745961375;6723;30;872;436;2;1;0;0;0;0;0;0;0;0
503;598;1357745360203;6723;38;46;23;1;0;0;0;0;0;0;0;0;0
504;598;1357745327531;6723;521;872;436;95;8;1;1;1;1;1;1;1;1
505;598;1357740331908;6723;1;15;7;2;2;2;2;2;2;2;2;2;2
506;598;1357741727845;6723;71;288;144;1;1;0;0;0;0;0;0;0;0
507;598;1357745896812;6723;1;13;-1;1;1;1;1;1;1;1;1;1;1
508;598;1357741114095;6723;22;878;439;29;13;12;5;3;3;3;3;3;3
509;598;1357742304595;6723;1;13;6;3;0;1;0;1;0;1;0;1;0
510;598;1357746057796;6723;1;21;10;1;0;1;0;1;0;1;0;1;0
511;598;1357743887720;6723;1;25;12;0;0;0;0;0;0;0;0;0;0
512;598;1357745273140;6723;2;74;37;2;2;2;2;2;2;2;2;2;2
513;598;1357743758658;6723;1;15;7;2;2;2;2;2;2;2;2;2;2
514;598;1357743474048;6723;42;893;446;12;5;1;1;1;1;1;1;1;1
515;598;1357747150968;6723;4;13;6;3;1;1;1;1;1;1;1;1;1
516;598;1357747066406;6723;4;282;141;1;0;0;0;0;0;0;0;0;0
517;598;1357740803361;6723;5;14;7;20;2;11;2;2;2;2;2;3;2
518;598;1357741474189;6723;5;1;-1;6;6;1;1;1;1;1;1;1;1
519;598;1357740716829;6723;217;23;11;152;4;10;4;1;1;5;4;1;1
520;598;1357743790470;6723;101;65;-1;23;23;33;33;447;447;89;89;22;22
521;598;1357741060954;6723;5;1422;711;8;8;8;8;8;8;8;8;8;8
522;598;1357740298173;6723;28;23;11;41;1;7;1;0;0;4;1;1;0
523;598;1357743920783;6723;7;874;437;29;17;21;14;3;3;3;3;4;4
524;598;1357747076453;6723;214;966;483;11;1;0;0;0;0;0;0;0;0
525;598;1357744093986;6723;156;65;32;94;4;0;0;0;0;0;0;0;0
526;598;1357742595829;6723;124;5;2;16;0;0;0;0;0;0;0;0;0
527;598;1357740491954;6723;8;308;154;3;0;0;0;0;0;0;0;0;0
528;598;1357745742343;6723;39;1003;501;23;6;3;3;3;3;3;3;3;3
529;598;1357746906343;6723;34;15;7;6;0;0;0;0;0;0;0;0;0
530;598;1357742617376;6723;45;1012;-1;5;5;0;0;0;0;0;0;0;0
531;598;1357743069314;6723;2;72;36;1;0;0;0;0;0;0;0;0;0
532;598;1357746473390;6723;15;880;440;3;1;1;1;1;1;1;1;1;1
533;598;1357741557454;6723;15;282;141;2;1;1;1;1;1;1;1;1;1
534;598;1357747392687;6723;38;7;3;5;0;0;0;0;0;0;0;0;0
535;598;1357743377079;6723;5;1410;705;1;1;1;1;1;1;1;1;1;1
536;598;1357743768783;6723;114;918;459;26;7;4;4;4;4;4;4;4;4
537;598;1357742744126;6723;8;969;-1;0;0;0;0;0;0;0;0;0;0
538;598;1357746357109;6723;2;15;7;2;2;2;2;2;2;2;2;2;2
539;598;1357741093501;6723;5;1422;711;2;2;2;2;2;2;2;2;2;2
540;598;1357742487220;6723;1;47;23;2;1;2;1;2;1;2;1;2;1
541;598;1357740557236;6723;3;4;-1;3;3;1;1;1;1;1;1;1;1
542;598;1357743654704;6723;5;1422;711;1;1;1;1;1;1;1;1;1;1
543;598;1357743633829;6723;1;72;36;2;2;2;2;2;2;2;2;2;2
544;598;1357742400751;6723;9;440;220;0;0;0;0;0;0;0;0;0;0
545;598;1357747276578;6723;8;968;484;7;2;3;1;2;1;2;1;3;1
546;598;1357745392484;6723;28;7;3;7;1;1;1;1;1;1;1;1;1
547;598;1357742733486;6723;35;332;166;0;0;0;0;0;0;0;0;0;0
548;598;1357745022359;6723;2;14;7;2;1;2;1;2;1;2;1;2;1
549;598;1357747498531;6723;1009;872;436;140;28;5;5;5;5;5;5;5;5
550;598;1357743207064;6723;84;920;460;2;0;0;0;0;0;0;0;0;0
